timestamp,date,global_btc_dominance,global_eth_dominance,global_defi_volume_24h,global_defi_market_cap,global_stablecoin_volume_24h,global_stablecoin_market_cap,global_derivatives_volume_24h
2026-03-04 15:17:25.859452,2026-03-04,58.482463706062,10.204196610038,10974994536.52728,57157748549.36966,113795314423.37778,287344319485.56274,1081072494741.1342
2026-03-04 15:33:37.459146,2026-03-04,58.456707587648,10.199339122302,10993153719.675398,56941053091.26615,114105291541.96266,287352851069.97534,1083701578301.2272
2026-03-05 21:11:25.610511,2026-03-05,59.229614878391,10.452397961175,11752110256.913769,59157329833.95812,141247950275.02368,288031251844.7033,1126200969683.0154
2026-03-06 23:14:08.167503,2026-03-06,58.784274287951,10.36173670496,9786091811.999,57701187189.96814,98269935251.33331,288321924316.5352,890355247951.4576
2026-03-09 16:00:53.232747,2026-03-09,58.262229715805,10.351112142567,9041365950.616669,56333751646.03283,80223960433.93915,288193934812.74445,738354862181.9309
2026-03-11 08:47:16.998649,2026-03-11,58.732181516109,10.324488203722,10315109177.622952,58342284061.56353,114627241117.47568,289638770668.1103,978907069616.3076
2026-03-12 20:21:57.997430,2026-03-12,58.59169776602,10.363097105398,9883176019.121834,59430347725.87531,97354876874.19638,289817716802.279,797842894198.7278
2026-03-13 22:19:50.749772,2026-03-13,58.933454063045,10.444894162874,11279962292.4153,61169853284.574135,112287706180.4238,289946346156.5745,916345324546.8616
2026-03-17 15:20:49.813919,2026-03-17,58.590958562831,11.013178689337,12743250326.366962,63680404821.77564,142152532462.72278,290332856916.0681,1123260718492.3884
2026-03-17 21:00:26.576000,2026-03-17,58.580873302371,11.037081902671,11469924901.833893,64054982563.61554,121013914650.68684,290622750029.8609,941251103083.5276
2026-03-18 02:46:37.524740,2026-03-18,58.497255424704,11.085179065207,10270189826.568447,64147741236.72331,102567399555.2263,290650552174.41486,799863607289.6163
2026-03-19 02:47:54.295780,2026-03-19,58.274781169598,10.882289313722,11065940935.86186,61581242985.64345,108689336133.86168,290457373880.14825,900455544082.7197
2026-03-20 02:38:36.587548,2026-03-20,58.25852592467,10.700487256285,10551926038.29168,60297421730.36034,105818088651.9538,290352658120.13855,889440176877.2042
2026-03-21 02:32:28.831091,2026-03-21,58.35079798712,10.724811098911,9228921356.437817,60358292875.19616,84255280645.97153,290128543485.2507,752576353545.2166
